id,name,level,country,profitableEffiieny,annualRevenue,employees,city,founded_year
0,"Rodriguez, Figueroa and Sanhez",1,China,68.98306557,317736,4606,Beijing,1994
1,Doyle Ltd,2,Japan,483.023622,429408,889,Nagoya,1917
2,"Mlain, Miller and Henderson",2,China,2884.983871,894345,310,Hangzhou,1954
3,Davis and Sons,2,USA,200.3744246,391732,1955,Los Angeles,1927
4,"Guzman, Hoffman and Baldwin",2,USA,50.48427116,227886,4514,Dallas,1925
5,"Gardner, Robinson and Lawrene",2,Frane,100.479188,490037,4877,Toulouse,1957
6,Blake and Sons,2,UK,394.5453206,535398,1357,London,1997
7,"Henderson, Ramirez and Lewis",2,Frane,149.8601663,198265,1323,Nantes,1935
8,Garia-James,2,Japan,414.8380717,335604,809,Fukuoka,1913
9,Abbott-Munoz,2,Frane,378,1083726,2867,Marseille,1945
10,Blair PL,2,UK,59.90611067,228422,3813,London,1993
11,Dudley Group,2,China,38.30030621,175109,4572,Tianjin,1910
12,Arnold Ltd,2,UK,157.7749004,475218,3012,ardiff,2013
13,"Mlure, Ward and Lee",2,Japan,457.4629436,876499,1916,Osaka,1905
14,Williams and Sons,2,UK,63.1962187,123675,1957,Manhester,2009
15,Galloway-Wyatt,2,China,97.41631243,366675,3764,Tianjin,1935
16,James Group,2,India,163.764527,484743,2960,Bangalore,1947
17,"Flowers, Martin and Kelly",2,Japan,700.6135647,444189,634,Sapporo,1989
18,"Adams, Zuniga and Wong",2,Germany,413.686618,850126,2055,Essen,1993
19,"Reid, Ferguson and Sanhez",2,Germany,96.34453782,217835,2261,Dortmund,1948
20,Gray-Mayo,2,Japan,1827.324803,928281,508,Fukuoka,2007
21,"Watts, Robinson and Nguyen",2,Japan,127.4965831,335826,2634,Tokyo,2003
22,Perez In,2,Frane,129.2975253,229891,1778,Nie,1908
23,Morales-Jones,2,India,46.65402271,193101,4139,Hyderabad,1983
24,"Walter, Edwards and Rios",2,Frane,120.239297,266811,2219,Montpellier,1918
25,Wilkerson-Day,2,Germany,76.35821859,354913,4648,Frankfurt,1995
26,Baker and Sons,2,UK,58.9679089,284815,4830,ardiff,1954
27,"Hoffman, Baker and Rihards",2,Frane,318.3964497,376663,1183,Nantes,1928
28,"Ross, Robinson and Bright",2,anada,1082.567816,470917,435,Montreal,1996
29,"Snyder, ampos and allahan",2,China,342.4058824,465672,1360,Guangzhou,1980
30,Burton Ltd,2,Frane,267.2348532,855686,3202,Lille,1908
31,arlson-ruz,2,Frane,78.31113139,343316,4384,Lille,1959
32,"Ferrell, Rie and Maddox",2,UK,1577.131944,227107,144,Bristol,2010
33,Frazier In,2,China,344.3221477,769560,2235,Nanjing,1996
34,"Dyer, Potter and Mak",2,India,115.0387704,415405,3611,Delhi,1937
35,Rodriguez-Graham,2,Germany,324.8749434,716999,2207,Dortmund,1900
36,Smith-Bowen,2,Germany,484.8197611,446519,921,Essen,2016
37,"Baker, Mason and White",2,UK,140.5419893,235970,1679,Bristol,1977
38,Harrell LL,2,Germany,276.8018937,380049,1373,Stuttgart,1997
39,"Romero, Gonzalez and Brooks",2,USA,75.05848963,304137,4052,San Jose,1941
40,Ryan PL,2,USA,149.7002977,452544,3023,Los Angeles,2018
41,George Group,2,UK,333.4898665,674650,2023,Liverpool,1907
